Kong_Index,Kong_ROI_Name,Schaefer2018_Best_Match,Dice
127,17networks_LH_VisualA_ExStr_2,17Networks_LH_VisCent_ExStr_10,1.0
128,17networks_LH_VisualA_ExStr_3,17Networks_LH_VisCent_ExStr_8,1.0
129,17networks_LH_VisualA_ExStr_4,17Networks_LH_VisCent_ExStr_6,1.0
130,17networks_LH_VisualA_ExStr_5,17Networks_LH_DorsAttnA_TempOcc_3,1.0
131,17networks_LH_VisualA_ExStr_6,17Networks_LH_VisCent_ExStr_4,1.0
132,17networks_LH_VisualA_ExStr_7,17Networks_LH_VisCent_ExStr_1,1.0
133,17networks_LH_VisualA_ExStr_8,17Networks_LH_DorsAttnA_TempOcc_1,1.0
134,17networks_LH_VisualA_ExStr_9,17Networks_LH_VisCent_ExStr_3,1.0
135,17networks_LH_VisualA_ExStr_10,17Networks_LH_VisCent_ExStr_2,1.0
136,17networks_LH_VisualA_PrC_1,17Networks_LH_DorsAttnB_FEF_1,1.0
137,17networks_LH_VisualA_SPL_1,17Networks_LH_DorsAttnA_SPL_4,1.0
138,17networks_LH_VisualB_ExStrInf_1,17Networks_LH_VisPeri_ExStrInf_3,1.0
139,17networks_LH_VisualB_ExStrInf_2,17Networks_LH_VisPeri_ExStrInf_2,1.0
140,17networks_LH_VisualB_ExStrInf_3,17Networks_LH_VisPeri_ExStrInf_1,1.0
141,17networks_LH_VisualB_ExStrInf_4,17Networks_LH_VisPeri_ExStrInf_4,1.0
142,17networks_LH_VisualB_ExStrSup_1,17Networks_LH_VisCent_ExStr_9,1.0
143,17networks_LH_VisualB_ExStrSup_2,17Networks_LH_VisPeri_ExStrSup_2,1.0
144,17networks_LH_VisualB_ExStrSup_3,17Networks_LH_VisPeri_ExStrSup_4,1.0
145,17networks_LH_VisualB_ExStrSup_4,17Networks_LH_VisPeri_ExStrSup_3,1.0
146,17networks_LH_VisualB_Striate_1,17Networks_LH_VisPeri_StriCal_1,1.0
147,17networks_LH_VisualB_Striate_2,17Networks_LH_VisPeri_ExStrSup_1,1.0
148,17networks_LH_VisualC_ExStr_1,17Networks_LH_VisCent_ExStr_7,1.0
149,17networks_LH_VisualC_ExStr_2,17Networks_LH_VisCent_ExStr_5,1.0
150,17networks_LH_VisualC_Striate_1,17Networks_LH_VisCent_Striate_1,1.0
151,Background,Background+FreeSurfer_Defined_Medial_Wall,1.0
152,17networks_RH_DefaultA_IPL_1,17Networks_RH_DefaultA_IPL_1,1.0
153,17networks_RH_DefaultA_PFCd_1,17Networks_RH_DefaultA_PFCd_1,1.0
154,17networks_RH_DefaultA_PFCm_1,17Networks_RH_LimbicB_OFC_5,1.0
155,17networks_RH_DefaultA_PFCm_2,17Networks_RH_DefaultA_PFCm_4,1.0
156,17networks_RH_DefaultA_PFCm_3,17Networks_RH_DefaultA_PFCm_1,1.0
157,17networks_RH_DefaultA_PFCm_4,17Networks_RH_LimbicB_OFC_3,1.0
158,17networks_RH_DefaultA_Temp_1,17Networks_RH_TempPar_1,1.0
159,17networks_RH_DefaultA_Temp_2,17Networks_RH_DefaultA_Temp_1,1.0
160,17networks_RH_DefaultA_Temp_3,17Networks_RH_LimbicA_TempPole_5,1.0
161,17networks_RH_DefaultA_TempPole_1,17Networks_RH_LimbicA_TempPole_2,1.0
162,17networks_RH_DefaultA_pCunPCC_1,17Networks_RH_DefaultA_pCunPCC_3,1.0
163,17networks_RH_DefaultA_pCunPCC_2,17Networks_RH_DefaultA_pCunPCC_1,1.0
164,17networks_RH_DefaultB_IFG_1,17Networks_RH_DefaultB_PFCv_1,1.0
165,17networks_RH_DefaultB_IPL_1,17Networks_RH_TempPar_7,1.0
166,17networks_RH_DefaultB_PFCd_1,17Networks_RH_DefaultB_PFCd_1,1.0
167,17networks_RH_DefaultB_PFCd_2,17Networks_RH_DefaultA_PFCm_3,1.0
168,17networks_RH_DefaultB_Temp_1,17Networks_RH_DefaultB_Temp_1,1.0
169,17networks_RH_DefaultB_TempPole_1,17Networks_RH_DefaultB_AntTemp_1,1.0
170,17networks_RH_DefaultC_IPL_1,17Networks_RH_DefaultC_IPL_1,1.0
171,17networks_RH_DefaultC_PHC_1,17Networks_RH_VisPeri_ExStrInf_1,1.0
172,17networks_RH_DefaultC_PHC_2,17Networks_RH_DefaultC_PHC_1,1.0
173,17networks_RH_DefaultC_RSC_1,17Networks_RH_DefaultC_Rsp_2,1.0
174,17networks_RH_DefaultC_RSC_2,17Networks_RH_DefaultC_Rsp_1,1.0
175,17networks_RH_DefaultC_pCun_1,17Networks_RH_ContC_pCun_2,1.0
176,17networks_RH_DefaultC_pCun_2,17Networks_RH_ContC_pCun_3,1.0
